Lake;Experiment;TP ;Chla ;DOC;Temperature;Chla_flu;PAR_I;PAR_II;PAR_III;TN
Erken;2;16.26;598.374;NA;17. Aug;Mär 32;32;15;4;0.6028
Erken;2;22.46;505.233;NA;17. Mär;04. Mai;70;35;13;0.6544
Erken;2;20.21;587.637;NA;17. Jul;Apr 51;41;18;5;0.6071
Erken;2;19.9;691.443;NA;17.78;Apr 43;45;23;6;0.634
Erken;2;23.88;546.507;NA;17. Apr;Feb 62;128;71;33;0.6116
Erken;2;36.31;4.365.837;NA;17. Sep;03. Jun;142;85;54;0.7392
Erken;2;12.41;412.236;NA;17.41;0.62;136;81;35;0.5467
Erken;2;17.93;309.888;NA;17.44;0.95;149;88;32;0.562
Erken;2;14.1;16.488;NA;17.58;Jan 37;73;42;15;0.5382
Erken;2;15.06;227.412;NA;17.59;Jan 61;112;57;22;0.5738
Erken;2;16.45;134.271;NA;17.57;0.86;53;25;12;0.6079
Erken;2;16.74;206.082;NA;17. Mai;Jan 55;93;46;17;0.5641
Erken;2;15.21;123.678;NA;17.41;0.8;181;110;43;0.5767
Erken;2;14.91;175.473;NA;17.39;0.8;196;114;47;0.5741
Erken;2;15.54;279.279;NA;17. Jun;Jan 93;98;51;20;0.5672
Erken;2;13.89;166.338;NA;17. Apr;0.46;181;111;44;0.5902
Erken;2;15.16;206.082;NA;17. Apr;01. Mär;173;102;45;0.5697
Erken;2;14.15;177.003;NA;17.58;0.6;105;52;19;0.5366
Erken;2;14.69;270.072;NA;17.39;Jan 72;168;110;43;0.5649
